,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
156,David Lipsky,36326,71.166,-0.319,-0.174,0.197,0.3,0.245,-0.619,1.0,1.0,1.0,1.0,1391.0,2.0,1.0,43333.0
157,Luke List,27129,71.613,-0.4,0.654,-0.287,0.616,0.265,-1.017,1.67,0.5,2.0,0.43,1421.0,-1.0,1.0,40833.0
158,Adam Long,35449,71.384,-0.183,-0.186,0.075,-0.641,-0.633,0.459,5.0,0.25,3.6,0.4,1354.0,7.0,0.0,57500.0
159,Davis Love III,01706,,,,,,,,4.0,0.0,5.0,0.0,,,,
160,Justin Lower,40162,71.354,-0.152,-0.282,-0.215,-0.608,-0.102,0.456,,,,,,,,71667.0
161,Shane Lowry,33204,70.436,0.57,0.431,-0.058,1.078,0.613,-0.507,-1.8,0.8,-2.17,0.83,1452.0,1.0,1.0,5417.0
162,Will MacKenzie,24912,,,,,,,,6.0,0.0,6.0,0.0,,,,
163,Hunter Mahan,24781,,,,,,,,6.0,0.0,6.0,0.0,,,,
164,Peter Malnati,34466,71.341,-0.049,-0.576,0.352,-0.498,-0.112,0.449,1.75,0.25,2.2,0.4,1437.0,6.0,0.0,57500.0
165,Ben Martin,33413,70.715,0.31,0.042,-0.387,0.214,0.648,0.095,-1.67,0.67,-1.67,0.67,,,,
166,Shigeki Maruyama,12680,,,,,,,,,,,,,,,
167,Hideki Matsuyama,32839,70.345,1.022,0.099,0.452,1.0,0.402,0.022,-1.43,0.71,-2.25,0.75,,,,3583.0
168,Troy Matteson,27120,,,,,,,,,,,,,,,
169,Brandon Matthews,51491,72.603,-1.632,0.306,-0.997,-0.884,-0.073,-0.748,,,,,,,,
170,Denny McCarthy,47993,70.038,0.859,0.015,0.08,0.251,0.048,0.608,2.67,0.67,2.0,0.5,1392.0,-6.0,1.0,10667.0
171,Tyler McCumber,40042,,,,,,,,3.0,0.0,8.0,0.0,,,,
172,William McGirt,31202,,,,,,,,1.86,0.57,1.86,0.57,1463.0,3.0,0.0,116667.0
173,Jim McGovern,06090,,,,,,,,,,,,,,,
174,Max McGreevy,51950,72.945,-2.34,-0.633,0.084,-1.703,-1.204,-0.637,,,,,,,,
175,Rory McIlroy,28237,69.776,1.602,0.799,0.344,1.84,0.816,-0.238,-3.5,0.83,-3.5,0.83,1445.0,-2.0,1.0,1400.0
176,Parker McLachlin,24449,,,,,,,,,,,,,,,
177,Maverick McNealy,46442,70.237,0.458,-0.467,0.143,-0.636,-0.228,1.094,14.0,0.0,9.0,0.0,,,,
178,George McNeill,24490,,,,,,,,-8.0,1.0,-8.0,1.0,,,,
179,John Merrick,27933,,,,,,,,,,,,,,,
180,Troy Merritt,32640,72.084,-0.967,-0.275,-0.104,-0.54,-0.203,-0.426,2.33,0.67,0.86,0.71,1459.0,6.0,1.0,75000.0
181,Shaun Micheel,06515,,,,,,,,,,,,,,,
182,Johnny Miller,01815,,,,,,,,,,,,,,,
183,Keith Mitchell,39546,70.613,0.672,0.821,-0.038,0.514,-0.207,0.157,4.0,0.75,5.2,0.6,1415.0,-2.0,1.0,13000.0
184,Francesco Molinari,25198,71.789,-0.183,-0.283,-0.09,-0.203,0.062,0.021,-3.67,0.67,-3.67,0.67,1397.0,-1.0,1.0,39167.0
185,Taylor Montgomery,55789,70.262,0.75,0.028,0.238,-0.211,-0.495,0.961,,,,,,,,19167.0
186,Ryan Moore,26596,71.654,-0.295,-0.307,-0.298,-0.161,0.384,-0.133,0.43,0.86,0.43,0.86,1446.0,15.0,1.0,
187,Taylor Moore,49947,70.519,0.722,0.258,-0.022,0.219,0.018,0.503,8.0,0.0,8.0,0.0,1460.0,8.0,0.0,
188,Collin Morikawa,50525,69.932,1.27,0.434,0.035,1.576,1.075,-0.305,-0.33,0.67,-5.0,0.75,1380.0,4.0,0.0,2450.0
189,Trey Mullinax,46601,71.932,-0.587,-0.025,-0.096,-0.192,0.034,-0.395,9.0,0.0,9.0,0.0,,,,59167.0
190,Grayson Murray,34213,,,,,,,,3.0,1.0,2.67,0.67,,,,
191,Matt NeSmith,36871,70.858,0.28,-0.045,0.012,0.245,0.209,0.035,,,,,,,,26667.0
192,Jack Nicklaus,01869,,,,,,,,,,,,,,,
193,S.Y. Noh,29289,71.413,-0.95,-0.664,-0.2,-1.399,-0.485,0.449,,,,,,,,
194,Alex Noren,27349,70.861,0.444,-0.385,0.428,-0.02,-0.023,0.465,,,,,,,,27917.0
195,Henrik Norlander,30163,71.331,-0.748,-0.154,0.115,-0.334,-0.2,-0.414,1.5,0.5,-1.0,0.67,,,,
196,Vincent Norrman,51070,70.995,0.031,0.284,0.006,0.36,0.008,-0.329,,,,,,,,
197,Andrew Novak,51997,70.973,0.5,-0.223,0.065,0.121,0.214,0.38,,,,,,,,
198,Augusto Núñez,36724,71.448,-0.295,-0.057,0.063,0.186,0.092,-0.481,,,,,,,,
199,Sean O'Hair,24140,71.162,0.116,-0.185,0.159,0.201,0.172,-0.085,3.5,0.25,3.5,0.25,,,,
200,Arron Oberholser,20628,,,,,,,,,,,,,,,
201,Joe Ogilvie,21949,,,,,,,,,,,,,,,
202,Geoff Ogilvy,22046,,,,,,,,-8.0,1.0,-8.0,1.0,,,,
203,Ryan Palmer,23320,71.082,0.096,0.176,-0.151,0.481,0.308,-0.385,5.0,0.5,8.0,0.33,1447.0,16.0,0.0,
204,C.T. Pan,29908,,,,,,,,5.25,1.0,3.6,1.0,1382.0,6.0,1.0,
205,Taylor Pendrith,40250,71.229,-0.005,0.334,-0.199,-0.102,-0.232,0.096,,,,,,,,30000.0
206,Cameron Percy,22056,71.364,0.343,0.221,-0.082,0.026,-0.308,0.317,,,4.0,0.0,,,,
207,Scott Piercy,25818,70.92,0.294,-0.287,0.099,0.232,0.312,0.063,5.25,0.5,5.25,0.5,,,,
208,Gary Player,01955,,,,,,,,,,,,,,,
209,D.A. Points,25240,,,,,,,,4.5,0.5,4.5,0.5,,,,
210,J.T. Poston,49771,70.956,-0.039,0.09,-0.054,0.104,0.077,-0.144,4.75,0.75,4.75,0.75,1407.0,2.0,1.0,22167.0
211,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,,
212,Seamus Power,28252,70.675,0.281,0.077,0.205,-0.088,-0.226,0.368,4.0,0.0,4.0,0.0,1453.0,4.0,0.0,17917.0
213,Ted Purdy,21959,,,,,,,,,,,,,,,
214,Andrew Putnam,34256,70.239,0.714,-0.436,0.099,0.065,0.394,0.649,4.75,0.5,3.8,0.6,1356.0,7.0,0.0,21667.0
215,Jon Rahm,46970,68.69,2.422,0.534,0.155,1.741,0.976,0.681,-6.25,0.75,-6.4,0.8,1408.0,-4.0,1.0,717.0
216,Aaron Rai,46414,70.655,0.401,0.257,0.105,0.775,0.326,-0.374,-1.0,1.0,-1.0,1.0,1357.0,-1.0,1.0,19333.0
217,Chad Ramey,47983,71.495,-0.184,-0.2,-0.072,-0.723,-0.48,0.539,,,,,,,,46667.0
218,Chez Reavie,26476,71.77,-0.474,-0.241,-0.234,-0.361,0.137,-0.114,2.0,0.5,-1.67,0.67,,,,40833.0
219,Doc Redman,53165,71.57,-0.642,-0.12,-0.552,-0.726,-0.166,0.084,4.67,0.33,4.67,0.33,,,,
220,Davis Riley,47995,71.189,-0.222,-0.046,-0.379,0.018,0.527,-0.24,-3.0,1.0,-3.0,1.0,1393.0,-3.0,1.0,25417.0
221,Patrick Rodgers,36699,70.238,0.758,0.38,0.208,0.571,-0.115,0.187,1.86,0.57,1.75,0.5,1440.0,5.0,0.0,17500.0
222,Chi Chi Rodriguez,02015,,,,,,,,,,,,,,,
223,John Rollins,22913,,,,,,,,,,,,,,,
224,Justin Rose,22405,69.628,1.338,0.01,0.193,0.945,0.61,0.393,-7.5,0.75,-4.0,0.6,,,,
225,Kevin Roy,39335,71.502,-0.329,-0.151,0.007,0.347,0.527,-0.677,,,,,,,,
226,Sam Ryder,37275,70.645,0.554,-0.574,-0.16,-0.434,0.316,0.988,2.5,0.5,-2.0,0.67,1454.0,3.0,0.0,43333.0
227,Rory Sabbatini,23621,72.856,-1.661,-0.859,0.09,-1.898,-1.084,0.237,-2.25,0.75,-3.6,0.8,,,,
228,Xander Schauffele,48081,69.361,2.05,0.279,0.217,1.443,0.892,0.608,-2.0,0.8,-3.33,0.83,1465.0,-2.0,1.0,1217.0
229,Scottie Scheffler,46046,68.736,2.501,1.107,0.416,2.567,1.071,-0.066,-4.0,1.0,-2.67,0.67,,,,600.0
230,Adam Schenk,47347,70.643,0.516,0.011,0.142,0.203,0.002,0.313,1.5,1.0,-0.33,1.0,1358.0,-1.0,1.0,23250.0
231,Matti Schmid,48867,72.448,-0.524,0.09,-0.506,-0.558,-0.05,0.035,,,,,,,,
232,Matthias Schwab,34610,71.724,-0.98,-0.343,0.183,-0.737,-0.442,-0.243,9.0,0.0,9.0,0.0,,,,
233,Adam Scott,24502,70.692,0.702,0.489,0.168,0.446,-0.076,0.256,-3.2,1.0,-3.2,1.0,1359.0,11.0,1.0,5417.0
234,Robby Shelton,46441,70.626,0.447,-0.241,0.376,0.486,0.344,-0.039,1.0,1.0,3.5,0.5,,,,34167.0
235,Greyson Sigg,51890,70.941,0.147,-0.03,0.085,0.165,0.031,-0.018,,,,,,,,
236,Webb Simpson,29221,71.622,-0.583,-0.405,-0.207,-0.421,0.193,-0.162,1.0,0.67,1.0,0.67,,,,
237,Vijay Singh,06567,,,,,,,,2.0,0.75,1.6,0.6,,,,
238,Heath Slocum,22293,,,,,,,,,,,,,,,
239,Alex Smalley,46340,70.557,0.433,0.287,0.1,0.682,0.227,-0.249,7.0,0.0,7.0,0.0,1360.0,7.0,0.0,18333.0
240,Chris Smith,02106,,,,,,,,,,,,,,,
241,Austin Smotherman,50095,71.449,-0.417,0.024,-0.229,-0.469,-0.135,0.051,,,,,,,,
242,Brandt Snedeker,27649,,,,,,,,7.0,1.0,3.0,0.5,1369.0,7.0,1.0,80000.0
243,J.J. Spaun,39324,70.624,0.358,0.212,0.134,0.437,0.13,-0.079,3.0,0.0,1.33,0.33,,,,22500.0
244,Jordan Spieth,34046,70.192,0.936,0.204,0.143,0.798,0.484,0.138,-3.88,0.88,-3.44,0.78,1409.0,-2.0,1.0,3583.0
245,Mike Springer,02131,,,,,,,,,,,,,,,
246,Kevin Stadler,26679,,,,,,,,,,10.0,0.0,,,,
247,Scott Stallings,30692,71.443,-0.37,0.099,0.155,-0.177,-0.416,-0.192,3.33,0.33,2.5,0.5,1455.0,8.0,0.0,40000.0
248,Kyle Stanley,30110,72.925,-1.92,0.086,-0.411,-0.586,-0.265,-1.334,-4.5,0.75,-3.8,0.6,,,,
249,Sam Stevens,55893,70.629,0.37,0.458,-0.102,0.553,0.178,-0.183,,,,,,,,31250.0
250,Sepp Straka,49960,70.954,0.549,-0.073,-0.133,0.348,0.62,0.2,7.67,0.67,3.25,0.75,1456.0,3.0,1.0,16667.0
251,Robert Streb,34431,71.863,-0.918,-0.249,0.149,-0.254,-0.304,-0.664,-0.5,0.33,0.0,0.29,1448.0,3.0,0.0,
252,Kevin Streelman,27214,71.154,0.203,-0.003,0.127,0.135,-0.063,0.068,-3.88,0.88,-4.67,0.89,1416.0,5.0,0.0,20750.0
253,Chris Stroud,27963,71.154,-0.004,-0.319,-0.062,0.226,0.547,-0.23,-4.0,1.0,-3.5,1.0,,,,
254,Brian Stuard,31560,72.277,-0.877,-1.049,0.347,-1.042,-0.404,0.165,2.33,0.83,2.57,0.71,,,,
255,Justin Suh,50493,70.718,0.151,0.002,-0.401,-0.404,0.003,0.555,2.0,0.0,2.0,0.0,,,,21250.0
256,Adam Svensson,40115,70.676,0.827,0.109,0.09,0.345,0.292,0.482,3.0,1.0,3.0,1.0,1361.0,3.0,1.0,17000.0
257,Callum Tarren,48699,71.636,-0.604,0.01,-0.546,-0.509,0.066,-0.096,,,,,,,,
258,Phil Tataurangi,12663,,,,,,,,,,,,,,,
259,Ben Taylor,48119,70.733,0.599,-0.117,0.028,-0.105,-0.001,0.704,,,,,,,,68333.0
260,Nick Taylor,25493,70.341,0.927,-0.023,0.249,0.584,0.346,0.343,3.5,0.5,2.2,0.6,,,,
261,Vaughn Taylor,23325,,,,,,,,3.2,0.6,2.67,0.5,,,,
262,Sahith Theegala,51634,70.329,0.703,-0.04,0.24,0.357,0.217,0.346,-2.5,1.0,-2.5,1.0,1457.0,-6.0,1.0,5250.0
263,Justin Thomas,33448,70.483,1.047,0.252,0.488,1.202,0.424,-0.155,0.43,0.57,-2.0,0.62,,,,2900.0
264,Davis Thompson,58168,71.142,-0.157,0.592,0.022,0.195,-0.347,-0.352,,,,,,,,50000.0
265,Michael Thompson,32150,71.381,0.131,0.072,-0.026,-0.054,-0.165,0.186,1.0,1.0,1.0,0.67,,,,
266,Brendon Todd,30927,70.464,0.769,-0.443,0.499,0.292,0.174,0.477,1.0,0.75,1.0,0.75,,,,20000.0
267,D.J. Trahan,23788,,,,,,,,,,5.0,0.0,,,,
268,Martin Trainer,35617,71.944,-1.125,-0.526,-0.225,-1.011,-0.37,-0.113,14.0,0.0,10.5,0.0,,,,
269,Lee Trevino,02213,,,,,,,,,,,,,,,
