,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
179,Maverick McNealy,46442,70.398,0.316,-0.488,0.154,-0.742,-0.282,1.058,-5.0,1.0,-5.0,1.0,519.0,-1.0,1.0
180,George McNeill,24490,,,,,,,,1.0,1.0,1.0,1.0,486.0,1.0,1.0
181,John Merrick,27933,,,,,,,,1.5,0.5,1.5,0.5,504.0,8.0,0.0
182,Troy Merritt,32640,71.88,-0.704,-0.216,0.067,-0.13,-0.094,-0.574,-5.5,0.75,-5.5,0.75,559.0,-1.0,1.0
183,Shaun Micheel,06515,,,,,,,,,,,,,,
184,Johnny Miller,01815,,,,,,,,,,,,,,
185,Keith Mitchell,39546,70.607,0.607,0.817,-0.073,0.535,-0.069,0.071,-5.33,0.67,-5.33,0.67,,,
186,Francesco Molinari,25198,71.887,-0.552,-0.284,-0.215,-0.444,-0.083,-0.108,,,,,,,
187,Taylor Montgomery,55789,70.496,0.488,-0.03,0.216,-0.4,-0.55,0.888,,,,,,,
188,Ryan Moore,26596,71.525,-0.048,-0.254,-0.18,0.059,0.462,-0.108,-2.25,0.25,-2.25,0.25,537.0,4.0,0.0
189,Taylor Moore,49947,70.471,0.749,0.244,0.012,0.276,0.082,0.473,,,,,,,
190,Collin Morikawa,50525,69.689,1.582,0.489,0.028,1.647,1.108,-0.065,-20.0,1.0,-20.0,1.0,,,
191,Trey Mullinax,46601,71.914,-0.592,-0.023,-0.088,-0.28,-0.119,-0.311,-1.0,0.0,-1.0,0.0,,,
192,Grayson Murray,34213,,,,,,,,2.0,0.5,2.0,0.5,487.0,2.0,1.0
193,Matt NeSmith,36871,71.037,0.082,-0.029,0.058,0.24,0.155,-0.159,,,,,,,
194,Jack Nicklaus,01869,,,,,,,,,,,,,,
195,S.Y. Noh,29289,71.492,-0.677,-0.451,-0.132,-1.142,-0.516,0.465,,,,,,,
196,Alex Noren,27349,70.771,0.459,-0.386,0.358,0.033,0.052,0.425,,,,,,,
197,Henrik Norlander,30163,71.519,-0.652,-0.158,0.057,-0.193,-0.055,-0.459,-4.5,0.5,-4.5,0.5,492.0,3.0,0.0
198,Vincent Norrman,51070,70.814,0.379,0.375,0.107,0.572,0.0,-0.192,,,,,,,
199,Andrew Novak,51997,70.919,0.58,-0.089,0.222,0.261,0.074,0.319,,,,,,,
200,Augusto Núñez,36724,71.579,-0.378,-0.018,0.002,0.106,-0.025,-0.484,,,,,,,
201,Sean O'Hair,24140,71.632,-0.509,-0.179,0.024,-0.436,-0.307,-0.074,0.5,0.0,0.5,0.0,550.0,2.0,0.0
202,Arron Oberholser,20628,,,,,,,,,,,,,,
203,Joe Ogilvie,21949,,,,,,,,,,,,,,
204,Geoff Ogilvy,22046,,,,,,,,,,,,,,
205,Ryan Palmer,23320,70.968,0.187,0.259,-0.077,0.678,0.341,-0.491,-4.0,1.0,-4.0,1.0,538.0,-4.0,1.0
206,C.T. Pan,29908,,,,,,,,-4.0,1.0,-4.0,1.0,463.0,-4.0,1.0
207,Taylor Pendrith,40250,71.157,0.186,0.309,-0.136,0.154,-0.04,0.032,,,,,,,
208,Cameron Percy,22056,71.464,0.249,0.093,-0.064,0.149,-0.066,0.1,-3.0,0.67,-3.0,0.67,464.0,-5.0,1.0
209,Scott Piercy,25818,71.112,0.092,-0.218,-0.028,0.071,0.225,0.022,-5.25,0.75,-5.25,0.75,551.0,-13.0,1.0
210,Gary Player,01955,,,,,,,,,,,,,,
211,D.A. Points,25240,,,,,,,,-1.0,0.0,-1.0,0.0,,,
212,J.T. Poston,49771,70.609,0.281,-0.033,-0.009,0.076,0.076,0.206,-7.5,1.0,-7.5,1.0,505.0,-8.0,1.0
213,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,
214,Seamus Power,28252,70.587,0.404,0.053,0.175,-0.067,-0.202,0.471,4.0,0.0,4.0,0.0,,,
215,Ted Purdy,21959,,,,,,,,12.0,0.0,12.0,0.0,560.0,12.0,0.0
216,Andrew Putnam,34256,70.133,0.778,-0.453,0.129,0.142,0.45,0.635,0.33,0.33,0.33,0.33,442.0,-8.0,1.0
217,Jon Rahm,46970,68.723,2.244,0.516,0.143,1.769,0.982,0.475,,,,,,,
218,Aaron Rai,46414,70.499,0.63,0.263,0.173,0.933,0.37,-0.304,,,,,,,
219,Chad Ramey,47983,71.52,-0.189,-0.098,0.01,-0.555,-0.393,0.366,,,,,,,
220,Chez Reavie,26476,71.398,-0.036,-0.256,-0.221,-0.071,0.352,0.034,-5.5,1.0,-5.5,1.0,465.0,-1.0,1.0
221,Doc Redman,53165,71.576,-0.511,-0.089,-0.457,-0.703,-0.229,0.192,3.67,0.0,3.67,0.0,477.0,6.0,0.0
222,Davis Riley,47995,71.069,-0.049,-0.024,-0.251,0.033,0.388,-0.082,2.0,0.0,2.0,0.0,478.0,2.0,0.0
223,Patrick Rodgers,36699,70.234,0.707,0.314,0.236,0.46,-0.159,0.247,-7.5,1.0,-7.5,1.0,,,
224,Chi Chi Rodriguez,02015,,,,,,,,,,,,,,
225,John Rollins,22913,,,,,,,,,,,,,,
226,Justin Rose,22405,69.719,1.314,-0.069,0.333,0.956,0.57,0.357,,,,,,,
227,Kevin Roy,39335,71.457,-0.166,-0.098,-0.141,0.231,0.561,-0.396,,,,,,,
228,Sam Ryder,37275,70.825,0.352,-0.517,-0.123,-0.385,0.292,0.738,-3.75,0.5,-3.75,0.5,553.0,2.0,0.0
229,Rory Sabbatini,23621,,,,,,,,4.0,0.0,4.0,0.0,,,
230,Xander Schauffele,48081,69.252,1.877,0.271,0.064,1.18,0.826,0.697,,,,,,,
231,Scottie Scheffler,46046,68.531,2.616,1.08,0.439,2.807,1.304,-0.192,,,,,,,
232,Adam Schenk,47347,70.502,0.809,0.022,0.096,0.399,0.231,0.41,-2.75,0.75,-2.75,0.75,443.0,0.0,1.0
233,Matti Schmid,48867,72.488,-0.621,0.093,-0.549,-0.72,-0.141,0.1,,,,,,,
234,Matthias Schwab,34610,71.934,-1.099,-0.374,0.276,-0.813,-0.555,-0.286,-2.5,1.0,-2.5,1.0,521.0,5.0,1.0
235,Adam Scott,24502,70.386,0.805,0.529,0.192,0.39,-0.129,0.416,,,,,,,
236,Robby Shelton,46441,70.987,0.066,-0.311,0.297,0.075,0.138,-0.009,-7.5,0.5,-7.5,0.5,,,
237,Greyson Sigg,51890,70.79,0.363,-0.019,0.103,0.37,0.167,-0.007,-10.0,1.0,-10.0,1.0,488.0,-10.0,1.0
238,Webb Simpson,29221,71.542,-0.551,-0.436,-0.17,-0.402,0.15,-0.148,,,,,,,
239,Vijay Singh,06567,,,,,,,,,,,,,,
240,Heath Slocum,22293,,,,,,,,,,,,,,
241,Alex Smalley,46340,70.497,0.56,0.241,0.063,0.805,0.393,-0.246,,,,,,,
242,Chris Smith,02106,,,,,,,,,,,,,,
243,Austin Smotherman,50095,71.461,-0.345,-0.011,-0.192,-0.44,-0.125,0.095,,,,,,,
244,Brandt Snedeker,27649,,,,,,,,-10.0,1.0,-10.0,1.0,,,
245,J.J. Spaun,39324,70.677,0.4,0.252,0.168,0.617,0.142,-0.217,-2.33,0.33,-2.33,0.33,,,
246,Jordan Spieth,34046,70.114,0.959,0.27,0.189,0.864,0.364,0.095,,,,,,,
247,Mike Springer,02131,,,,,,,,,,,,,,
248,Kevin Stadler,26679,,,,,,,,9.0,0.0,9.0,0.0,512.0,15.0,0.0
249,Scott Stallings,30692,71.544,-0.528,0.088,0.117,-0.034,-0.261,-0.495,-4.67,0.67,-4.67,0.67,,,
250,Kyle Stanley,30110,,,,,,,,-5.5,0.5,-5.5,0.5,,,
251,Sam Stevens,55893,70.733,0.268,0.433,0.018,0.528,0.043,-0.259,,,,,,,
252,Sepp Straka,49960,70.559,0.727,0.051,-0.084,0.513,0.599,0.213,-5.0,0.33,-5.0,0.33,,,
253,Robert Streb,34431,72.014,-0.959,-0.206,0.064,-0.431,-0.486,-0.527,-5.25,0.5,-5.25,0.5,540.0,-8.0,1.0
