,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
179,George McNeill,24490,,,,,,,,5.0,0.0,5.0,0.0,,,,
180,John Merrick,27933,,,,,,,,,,,,,,,
181,Troy Merritt,32640,72.217,-1.098,-0.378,-0.043,-0.666,-0.329,-0.432,-2.43,0.43,-2.43,0.43,1121.0,-1.0,0.0,
182,Shaun Micheel,06515,,,,,,,,,,,,,,,
183,Johnny Miller,01815,,,,,,,,,,,,,,,
184,Keith Mitchell,39546,70.632,0.635,0.836,-0.122,0.416,-0.163,0.219,-2.75,0.5,-2.75,0.5,1065.0,-12.0,1.0,
185,Francesco Molinari,25198,71.946,-0.447,-0.337,-0.195,-0.458,-0.025,0.011,0.33,0.67,0.33,0.67,,,,
186,Taylor Montgomery,55789,70.352,0.678,-0.027,0.235,-0.303,-0.517,0.981,,,,,,,,
187,Ryan Moore,26596,71.571,-0.115,-0.313,-0.185,-0.04,0.43,-0.075,-4.2,0.6,-4.2,0.6,,,,
188,Taylor Moore,49947,70.496,0.707,0.246,-0.026,0.235,0.049,0.472,-2.0,1.0,-2.0,1.0,1122.0,-2.0,1.0,
189,Collin Morikawa,50525,69.761,1.437,0.427,-0.02,1.595,1.146,-0.158,-0.5,0.5,-0.5,0.5,,,,
190,Trey Mullinax,46601,71.955,-0.585,-0.045,-0.055,-0.18,0.013,-0.405,0.5,0.25,0.5,0.25,1123.0,2.0,0.0,
191,Grayson Murray,34213,,,,,,,,1.67,0.33,1.67,0.33,,,,
192,Matt NeSmith,36871,70.926,0.23,-0.036,0.008,0.234,0.205,-0.003,,,,,,,,
193,Jack Nicklaus,01869,,,,,,,,,,,,,,,
194,S.Y. Noh,29289,71.397,-0.711,-0.611,-0.214,-1.217,-0.371,0.506,,,,,,,,
195,Alex Noren,27349,70.901,0.403,-0.414,0.445,0.021,-0.009,0.383,,,,,,,,
196,Henrik Norlander,30163,71.442,-0.769,-0.136,0.125,-0.211,-0.147,-0.559,-3.75,0.75,-3.75,0.75,1043.0,1.0,0.0,
197,Vincent Norrman,51070,71.013,0.003,0.312,0.066,0.369,-0.095,-0.366,,,,,,,,
198,Andrew Novak,51997,70.871,0.698,-0.179,0.221,0.268,0.137,0.43,,,,,,,,
199,Augusto Núñez,36724,71.46,-0.27,-0.041,0.062,0.145,0.025,-0.415,,,,,,,,
200,Sean O'Hair,24140,71.229,0.069,-0.186,0.266,0.175,0.011,-0.106,2.5,0.0,2.5,0.0,,,,
201,Arron Oberholser,20628,,,,,,,,,,,,,,,
