,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
164,Cameron Percy,22056,71.258,0.603,0.289,-0.06,0.246,-0.144,0.358,4.25,0.0,6.0,0.0,1872.0,2.0,0.0,
165,Scott Piercy,25818,71.154,0.101,-0.405,0.179,0.133,0.359,-0.031,2.33,0.67,1.5,0.5,1963.0,4.0,1.0,500000.0
166,D.A. Points,25240,,,,,,,,4.4,0.2,6.6,0.2,,,,
167,J.T. Poston,49771,71.038,-0.003,0.1,-0.103,0.144,0.122,-0.147,1.0,0.6,3.33,0.33,1904.0,-2.0,1.0,500000.0
168,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,,
169,Seamus Power,28252,70.883,0.029,-0.088,0.212,-0.395,-0.34,0.423,0.0,0.8,-1.0,1.0,1964.0,2.0,0.0,42500.0
170,Andrew Putnam,34256,70.321,0.72,-0.466,0.104,0.096,0.418,0.625,3.5,0.25,4.0,0.33,1849.0,2.0,0.0,500000.0
171,Jon Rahm,46970,68.629,2.625,0.562,0.205,1.882,1.048,0.743,-2.0,0.5,5.5,0.5,,,,
172,Aaron Rai,46414,70.774,0.339,0.294,0.106,0.7,0.256,-0.361,1.0,0.0,,,1850.0,1.0,0.0,500000.0
173,Chad Ramey,47983,71.917,-0.538,-0.161,-0.027,-1.019,-0.827,0.481,,,,,,,,225000.0
174,Chez Reavie,26476,72.202,-0.713,-0.124,-0.334,-0.41,0.072,-0.302,0.5,0.75,1.33,0.67,1873.0,-1.0,1.0,500000.0
175,Doc Redman,53165,71.705,-0.807,-0.133,-0.556,-0.987,-0.397,0.179,2.33,0.33,-0.5,0.5,1884.0,8.0,0.0,500000.0
176,Davis Riley,47995,71.106,-0.016,-0.055,-0.361,0.118,0.594,-0.134,,,,,,,,500000.0
177,Patrick Rodgers,36699,70.229,0.948,0.348,0.313,0.706,0.0,0.242,0.6,0.6,2.0,0.6,,,,500000.0
178,Justin Rose,22405,69.968,1.12,0.097,0.142,0.683,0.396,0.437,-7.5,1.0,-3.0,0.67,,,,
179,Kevin Roy,39335,71.524,-0.351,-0.129,-0.034,0.392,0.608,-0.743,,,,,,,,
180,Sam Ryder,37275,70.388,1.026,-0.385,-0.147,-0.13,0.364,1.155,7.0,0.0,7.0,0.0,,,,500000.0
181,Rory Sabbatini,23621,72.675,-1.224,-0.776,0.085,-1.558,-0.867,0.334,3.17,0.5,2.0,0.5,1953.0,5.0,1.0,500000.0
182,Xander Schauffele,48081,69.743,1.786,0.033,0.247,1.329,1.02,0.457,0.67,1.0,6.0,0.67,,,,418.0
183,Scottie Scheffler,46046,69.161,2.27,1.029,0.299,2.27,0.964,0.0,,,,,,,,
184,Adam Schenk,47347,70.769,0.504,0.035,0.237,0.185,-0.135,0.319,1.5,0.5,2.67,0.33,1851.0,-2.0,1.0,500000.0
185,Matti Schmid,48867,72.348,-0.265,0.102,-0.434,-0.329,0.104,0.064,,,,,,,,
186,Matthias Schwab,34610,71.623,-0.801,-0.374,0.114,-0.537,-0.256,-0.264,2.0,0.0,,,1934.0,2.0,0.0,500000.0
187,Adam Scott,24502,71.628,-0.027,0.385,0.197,0.049,-0.356,-0.076,1.75,0.5,4.0,0.5,,,,1450.0
188,Robby Shelton,46441,70.732,0.416,-0.225,0.394,0.633,0.45,-0.216,3.5,0.5,5.0,0.0,,,,500000.0
189,Greyson Sigg,51890,70.845,0.322,-0.003,0.033,0.181,0.121,0.14,7.0,0.0,,,1888.0,7.0,0.0,500000.0
190,Webb Simpson,29221,71.492,-0.366,-0.411,-0.144,-0.308,0.262,-0.058,0.17,0.5,-1.0,0.8,1978.0,5.0,0.0,206667.0
191,Vijay Singh,06567,,,,,,,,7.75,0.25,8.5,0.5,,,,
192,Alex Smalley,46340,70.892,0.172,0.232,0.034,0.413,0.138,-0.241,5.0,0.0,,,1852.0,5.0,0.0,50625.0
193,Austin Smotherman,50095,71.561,-0.455,0.026,-0.269,-0.364,-0.076,-0.091,,,,,,,,500000.0
194,Brandt Snedeker,27649,,,,,,,,,,,,,,,
195,J.J. Spaun,39324,70.658,0.462,0.321,0.218,0.516,-0.01,-0.054,-1.0,1.0,-1.0,1.0,,,,20550.0
