,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
235,Robby Shelton,46441,71.059,-0.047,-0.278,0.272,0.026,0.105,-0.073,0.5,0.0,4.0,0.0,,,
236,Greyson Sigg,51890,70.813,0.271,-0.005,0.069,0.286,0.121,-0.014,1.0,0.0,-1.0,1.0,220.0,1.0,0.0
237,Webb Simpson,29221,71.201,-0.273,-0.333,-0.055,-0.191,0.15,-0.083,-14.86,1.0,-4.4,0.6,,,
238,Vijay Singh,06567,,,,,,,,-9.0,1.0,1.0,0.0,,,
239,Heath Slocum,22293,,,,,,,,,,,,,,
240,Alex Smalley,46340,70.484,0.548,0.233,0.046,0.827,0.432,-0.279,-10.0,1.0,0.0,0.0,183.0,-10.0,1.0
241,Chris Smith,02106,,,,,,,,,,,,,,
242,Austin Smotherman,50095,71.462,-0.412,0.039,-0.27,-0.469,-0.125,0.057,,,,,,,
243,Brandt Snedeker,27649,,,,,,,,-9.33,0.83,-1.67,1.0,,,
244,J.J. Spaun,39324,70.58,0.443,0.255,0.136,0.648,0.177,-0.205,-3.4,0.4,-5.0,1.0,238.0,2.0,0.0
245,Jordan Spieth,34046,70.114,0.959,0.27,0.189,0.864,0.364,0.095,-5.5,0.5,-4.0,0.75,,,
246,Mike Springer,02131,,,,,,,,,,,,,,
247,Kevin Stadler,26679,,,,,,,,,,,,,,
248,Scott Stallings,30692,71.478,-0.516,0.027,0.146,-0.077,-0.269,-0.439,-4.71,0.43,-0.2,0.6,289.0,-10.0,1.0
249,Kyle Stanley,30110,,,,,,,,-6.0,0.5,1.33,0.67,,,
250,Sam Stevens,55893,70.731,0.241,0.419,0.006,0.463,-0.013,-0.221,,,,,,,
