,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
200,Sean O'Hair,24140,71.229,0.069,-0.186,0.266,0.175,0.011,-0.106,-5.0,0.5,-5.0,0.5,415.0,0.0,0.0
201,Arron Oberholser,20628,,,,,,,,,,,,,,
202,Joe Ogilvie,21949,,,,,,,,,,,,,,
203,Geoff Ogilvy,22046,,,,,,,,2.0,0.0,2.0,0.0,346.0,2.0,0.0
204,Ryan Palmer,23320,70.924,0.169,0.239,-0.105,0.62,0.346,-0.451,-1.0,0.0,-1.0,0.0,403.0,-1.0,0.0
205,C.T. Pan,29908,,,,,,,,1.0,0.0,1.0,0.0,328.0,4.0,0.0
206,Taylor Pendrith,40250,71.34,-0.113,0.26,-0.136,-0.078,-0.196,-0.035,-21.0,1.0,-21.0,1.0,428.0,-21.0,1.0
207,Cameron Percy,22056,71.429,0.291,0.097,-0.131,0.013,-0.172,0.278,-5.0,0.5,-5.0,0.5,,,
208,Scott Piercy,25818,71.019,0.195,-0.239,0.043,0.163,0.261,0.031,2.0,0.0,2.0,0.0,416.0,2.0,0.0
209,Gary Player,01955,,,,,,,,,,,,,,
210,D.A. Points,25240,,,,,,,,,,,,,,
211,J.T. Poston,49771,70.927,0.007,0.037,-0.091,0.036,0.064,-0.029,-9.5,0.5,-9.5,0.5,,,
212,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,
213,Seamus Power,28252,70.681,0.281,0.022,0.159,-0.187,-0.309,0.468,-7.67,0.67,-7.67,0.67,,,
214,Ted Purdy,21959,,,,,,,,,,,,,,
215,Andrew Putnam,34256,70.133,0.791,-0.421,0.081,0.1,0.408,0.691,0.5,0.0,0.5,0.0,,,
216,Jon Rahm,46970,68.788,2.244,0.516,0.143,1.769,0.982,0.475,,,,,,,
217,Aaron Rai,46414,70.552,0.547,0.28,0.152,0.891,0.348,-0.344,,,,,,,
218,Chad Ramey,47983,71.65,-0.412,-0.161,-0.096,-0.758,-0.453,0.346,,,,,,,
219,Chez Reavie,26476,71.495,-0.161,-0.223,-0.245,-0.243,0.185,0.082,-1.5,0.0,-1.5,0.0,,,
220,Doc Redman,53165,71.589,-0.656,-0.092,-0.503,-0.743,-0.2,0.087,-9.5,0.75,-9.5,0.75,339.0,-7.0,1.0
221,Davis Riley,47995,71.155,-0.174,-0.07,-0.338,-0.068,0.442,-0.105,0.0,0.0,0.0,0.0,340.0,0.0,0.0
222,Patrick Rodgers,36699,70.214,0.759,0.304,0.264,0.505,-0.133,0.254,-9.0,1.0,-9.0,1.0,396.0,-9.0,1.0
223,Chi Chi Rodriguez,02015,,,,,,,,,,,,,,
224,John Rollins,22913,,,,,,,,,,,,,,
225,Justin Rose,22405,69.62,1.399,-0.037,0.302,0.982,0.597,0.417,,,,,,,
226,Kevin Roy,39335,71.534,-0.328,-0.126,-0.085,0.203,0.455,-0.531,,,,,,,
227,Sam Ryder,37275,70.757,0.428,-0.495,-0.183,-0.399,0.322,0.827,-4.25,0.25,-4.25,0.25,418.0,-12.0,1.0
228,Rory Sabbatini,23621,,,,,,,,-6.0,0.5,-6.0,0.5,404.0,-8.0,1.0
229,Xander Schauffele,48081,69.251,1.993,0.274,0.073,1.288,0.927,0.704,,,,,,,
230,Scottie Scheffler,46046,68.518,2.638,1.088,0.476,2.805,1.257,-0.167,0.0,0.0,0.0,0.0,,,
231,Adam Schenk,47347,70.578,0.575,-0.024,0.097,0.251,0.125,0.324,-8.0,0.75,-8.0,0.75,306.0,-2.0,0.0
232,Matti Schmid,48867,72.419,-0.471,0.084,-0.575,-0.552,0.001,0.081,,,,,,,
233,Matthias Schwab,34610,71.756,-1.002,-0.367,0.217,-0.718,-0.4,-0.284,-2.0,0.0,-2.0,0.0,384.0,-2.0,0.0
234,Adam Scott,24502,70.444,0.843,0.553,0.236,0.446,-0.122,0.396,-10.0,1.0,-10.0,1.0,307.0,-10.0,1.0
235,Robby Shelton,46441,70.862,0.191,-0.307,0.348,0.159,0.175,0.032,-1.0,0.0,-1.0,0.0,,,
236,Greyson Sigg,51890,70.816,0.287,-0.04,0.053,0.237,0.105,0.05,3.0,0.0,3.0,0.0,347.0,3.0,0.0
237,Webb Simpson,29221,71.477,-0.532,-0.455,-0.163,-0.37,0.209,-0.162,-7.0,0.67,-7.0,0.67,433.0,-5.0,1.0
238,Vijay Singh,06567,,,,,,,,-4.0,0.0,-4.0,0.0,,,
239,Heath Slocum,22293,,,,,,,,,,,,,,
240,Alex Smalley,46340,70.528,0.501,0.278,0.059,0.739,0.298,-0.238,-1.0,0.0,-1.0,0.0,308.0,-1.0,0.0
241,Chris Smith,02106,,,,,,,,,,,,,,
242,Austin Smotherman,50095,71.46,-0.398,0.01,-0.187,-0.395,-0.098,-0.003,,,,,,,
243,Brandt Snedeker,27649,,,,,,,,-9.33,0.67,-9.33,0.67,,,
244,J.J. Spaun,39324,70.649,0.367,0.241,0.165,0.543,0.094,-0.176,-13.5,1.0,-13.5,1.0,362.0,-17.0,1.0
245,Jordan Spieth,34046,70.119,1.044,0.261,0.201,0.913,0.417,0.13,,,,,,,
246,Mike Springer,02131,,,,,,,,,,,,,,
247,Kevin Stadler,26679,,,,,,,,-1.0,0.0,-1.0,0.0,,,
248,Scott Stallings,30692,71.517,-0.517,0.074,0.18,-0.136,-0.394,-0.38,-11.0,1.0,-11.0,1.0,419.0,-16.0,1.0
249,Kyle Stanley,30110,,,,,,,,-7.33,0.67,-7.33,0.67,,,
250,Sam Stevens,55893,70.602,0.37,0.472,-0.004,0.617,0.151,-0.248,,,,,,,
