,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
225,Chi Chi Rodriguez,02015,,,,,,,,,,,,,,
226,John Rollins,22913,,,,,,,,,,,,,,
227,Justin Rose,22405,69.652,1.399,-0.037,0.302,0.982,0.597,0.417,-2.83,1.0,-11.0,1.0,,,
228,Kevin Roy,39335,71.454,-0.196,-0.068,-0.186,0.223,0.529,-0.42,,,,,,,
229,Sam Ryder,37275,70.825,0.417,-0.524,-0.103,-0.319,0.353,0.736,,,,,,,
230,Rory Sabbatini,23621,,,,,,,,-2.0,1.0,,,,,
231,Xander Schauffele,48081,69.264,1.993,0.274,0.073,1.288,0.927,0.704,-3.0,1.0,,,,,
232,Scottie Scheffler,46046,68.473,2.638,1.088,0.476,2.805,1.257,-0.167,-8.0,1.0,-9.0,1.0,648.0,-9.0,1.0
233,Adam Schenk,47347,70.411,0.809,0.022,0.096,0.399,0.231,0.41,,,,,,,
234,Matti Schmid,48867,72.555,-0.744,0.095,-0.575,-0.755,-0.191,0.011,,,,,,,
235,Matthias Schwab,34610,71.944,-1.148,-0.398,0.262,-0.851,-0.547,-0.297,3.0,0.0,,,,,
236,Adam Scott,24502,70.429,0.843,0.553,0.236,0.446,-0.122,0.396,-1.71,0.86,-10.0,1.0,567.0,-10.0,1.0
237,Robby Shelton,46441,70.987,0.144,-0.301,0.327,0.154,0.185,-0.01,,,,,,,
238,Greyson Sigg,51890,70.79,0.363,-0.019,0.103,0.37,0.167,-0.007,,,,,,,
239,Webb Simpson,29221,71.542,-0.551,-0.436,-0.17,-0.402,0.15,-0.148,-1.29,0.86,-2.0,0.5,662.0,1.0,0.0
240,Vijay Singh,06567,,,,,,,,6.0,0.0,,,,,
241,Heath Slocum,22293,,,,,,,,,,,,,,
242,Alex Smalley,46340,70.497,0.63,0.25,0.047,0.864,0.451,-0.233,,,,,,,
243,Chris Smith,02106,,,,,,,,,,,,,,
244,Austin Smotherman,50095,71.445,-0.355,-0.031,-0.19,-0.434,-0.12,0.079,,,,,,,
245,Brandt Snedeker,27649,,,,,,,,2.2,0.4,2.0,0.0,,,
246,J.J. Spaun,39324,70.677,0.4,0.252,0.168,0.617,0.142,-0.217,,,,,,,
247,Jordan Spieth,34046,70.153,1.044,0.261,0.201,0.913,0.417,0.13,-8.29,1.0,-13.0,1.0,609.0,-12.0,1.0
248,Mike Springer,02131,,,,,,,,,,,,,,
249,Kevin Stadler,26679,,,,,,,,,,,,,,
250,Scott Stallings,30692,71.558,-0.487,0.097,0.117,-0.077,-0.306,-0.41,,,,,,,
251,Kyle Stanley,30110,,,,,,,,2.67,0.67,,,,,
252,Sam Stevens,55893,70.733,0.268,0.433,0.018,0.528,0.043,-0.259,,,,,,,
253,Sepp Straka,49960,70.707,0.727,0.051,-0.084,0.513,0.599,0.213,9.0,0.0,9.0,0.0,649.0,9.0,0.0
254,Robert Streb,34431,71.903,-0.861,-0.21,0.122,-0.355,-0.466,-0.506,1.33,0.33,-8.0,1.0,,,
255,Kevin Streelman,27214,71.071,0.176,-0.095,0.147,0.224,0.074,-0.048,2.0,0.67,6.0,0.0,,,
256,Chris Stroud,27963,71.318,-0.147,-0.353,-0.095,-0.017,0.36,-0.13,,,,,,,
257,Brian Stuard,31560,72.442,-1.086,-1.135,0.198,-1.184,-0.32,0.099,,,,,,,
258,Justin Suh,50493,70.753,0.138,-0.073,-0.387,-0.485,-0.035,0.623,,,,,,,
259,Adam Svensson,40115,70.82,0.571,0.057,0.096,0.175,0.171,0.396,,,,,,,
260,Callum Tarren,48699,71.474,-0.322,0.226,-0.363,-0.061,0.215,-0.26,,,,,,,
261,Phil Tataurangi,12663,,,,,,,,,,,,,,
262,Ben Taylor,48119,71.095,0.135,-0.163,-0.009,-0.369,-0.141,0.504,11.0,0.0,11.0,0.0,,,
263,Nick Taylor,25493,70.236,0.942,-0.075,0.184,0.519,0.423,0.422,,,,,,,
264,Vaughn Taylor,23325,,,,,,,,,,,,,,
265,Sahith Theegala,51634,70.402,0.615,-0.134,0.167,0.153,0.181,0.462,-7.0,1.0,-7.0,1.0,650.0,-7.0,1.0
266,Justin Thomas,33448,70.644,0.687,0.133,0.362,0.95,0.421,-0.262,1.33,0.67,-4.0,1.0,610.0,-4.0,1.0
267,Davis Thompson,58168,71.041,0.015,0.431,0.062,0.158,-0.318,-0.143,,,,,,,
268,Michael Thompson,32150,71.381,0.131,0.072,-0.026,-0.054,-0.165,0.186,,,,,,,
269,Brendon Todd,30927,70.528,0.749,-0.434,0.483,0.258,0.166,0.49,-3.0,0.5,-9.0,1.0,,,
270,D.J. Trahan,23788,,,,,,,,,,,,,,
271,Martin Trainer,35617,72.253,-1.334,-0.596,-0.268,-1.3,-0.49,-0.034,,,,,,,
272,Lee Trevino,02213,,,,,,,,,,,,,,
273,Marc Turnesa,26668,,,,,,,,,,,,,,
274,Kevin Tway,32333,71.201,-0.239,-0.024,-0.195,-0.344,-0.175,0.105,,,,,,,
275,Omar Uresti,08385,,,,,,,,,,,,,,
