,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
236,Greyson Sigg,51890,70.956,0.191,-0.061,0.113,0.206,0.057,-0.015,15.5,0.5,,,,,,
237,Webb Simpson,29221,71.622,-0.583,-0.405,-0.207,-0.421,0.193,-0.162,5.0,0.62,,,1230.0,4.0,0.0,
238,Vijay Singh,06567,,,,,,,,,,,,,,,
239,Heath Slocum,22293,,,,,,,,,,,,,,,
240,Alex Smalley,46340,70.683,0.376,0.258,0.056,0.637,0.236,-0.261,3.0,0.0,,,,,,
241,Chris Smith,02106,,,,,,,,,,,,,,,
242,Austin Smotherman,50095,71.466,-0.366,0.019,-0.202,-0.395,-0.118,0.029,,,,,,,,
243,Brandt Snedeker,27649,,,,,,,,6.17,0.67,,,,,,
244,J.J. Spaun,39324,70.645,0.409,0.214,0.18,0.52,0.101,-0.111,10.0,0.0,,,,,,
245,Jordan Spieth,34046,70.135,1.076,0.258,0.191,0.952,0.462,0.124,4.88,0.75,,,1175.0,7.0,1.0,
246,Mike Springer,02131,,,,,,,,,,,,,,,
247,Kevin Stadler,26679,,,,,,,,,,,,,,,
248,Scott Stallings,30692,71.52,-0.425,0.096,0.147,-0.18,-0.399,-0.245,10.0,0.0,,,1219.0,6.0,0.0,
249,Kyle Stanley,30110,72.951,-1.869,-0.051,-0.296,-0.617,-0.3,-1.253,8.0,0.5,,,,,,
250,Sam Stevens,55893,70.677,0.384,0.474,-0.072,0.548,0.111,-0.164,,,,,,,,
251,Sepp Straka,49960,70.921,0.63,-0.044,-0.184,0.415,0.7,0.215,2.0,0.5,,,1220.0,9.0,0.0,
252,Robert Streb,34431,72.105,-1.184,-0.238,0.063,-0.424,-0.409,-0.76,7.5,0.5,,,,,,
253,Kevin Streelman,27214,71.209,0.161,-0.056,0.136,0.119,-0.035,0.041,4.33,0.67,,,,,,
254,Chris Stroud,27963,71.216,-0.03,-0.27,-0.103,0.159,0.45,-0.188,,,,,,,,
255,Brian Stuard,31560,72.395,-1.01,-1.121,0.289,-1.124,-0.374,0.114,7.6,0.2,,,1143.0,5.0,0.0,
256,Justin Suh,50493,70.756,0.174,0.014,-0.409,-0.419,-0.016,0.593,9.0,0.0,,,,,,
257,Adam Svensson,40115,70.828,0.682,0.114,0.081,0.27,0.241,0.412,,,,,,,,
258,Callum Tarren,48699,71.625,-0.515,0.076,-0.419,-0.394,0.038,-0.121,,,,,,,,
259,Phil Tataurangi,12663,,,,,,,,,,,,,,,
260,Ben Taylor,48119,70.856,0.469,-0.139,-0.037,-0.189,-0.005,0.658,,,,,,,,
261,Nick Taylor,25493,70.207,1.15,-0.003,0.271,0.74,0.433,0.41,1.5,0.5,,,1197.0,5.0,0.0,
262,Vaughn Taylor,23325,,,,,,,,,,,,,,,
263,Sahith Theegala,51634,70.506,0.617,-0.148,0.194,0.18,0.166,0.437,7.5,0.0,,,,,,
264,Justin Thomas,33448,70.609,0.932,0.233,0.436,1.135,0.428,-0.203,4.14,0.86,,,1176.0,7.0,1.0,
265,Davis Thompson,58168,71.233,-0.179,0.488,0.015,0.188,-0.282,-0.368,7.0,0.0,,,,,,
266,Michael Thompson,32150,71.381,0.131,0.072,-0.026,-0.054,-0.165,0.186,16.0,1.0,,,,,,
267,Brendon Todd,30927,70.593,0.686,-0.433,0.497,0.253,0.141,0.434,8.0,0.25,,,,,,
268,D.J. Trahan,23788,,,,,,,,11.0,0.0,,,,,,
269,Martin Trainer,35617,72.055,-1.095,-0.626,-0.227,-1.064,-0.364,-0.031,,,,,,,,
270,Lee Trevino,02213,,,,,,,,,,,,,,,
